Sample	isSMA	isCarrier	SMN1_CN	SMN2_CN	SMN*_CN	Total_CN_raw	Full_length_CN_raw	g.27134T>G_CN	population
NA19377	False	False	3	1	0	3.981	3.962	0	AFR
NA18502	False	False	2	2	0	4.023	4.172	0	AFR
NA18861	False	False	3	0	0	2.936	3.126	1	AFR
HG03025	False	False	2	2	0	3.997	4.313	0	AFR
HG03103	False	False	2	2	0	3.87	3.866	0	AFR
NA19146	False	False	3	0	0	3.034	3.121	1	AFR
HG03069	False	False	3	2	0	4.907	5.123	1	AFR
HG02887	False	False	2	2	0	3.985	3.915	0	AFR
NA19207	False	False	2	1	0	2.879	2.96	0	AFR
NA19189	False	False	3	0	0	3.094	2.817	1	AFR
NA18507	False	False	2	1	0	2.919	2.983	0	AFR
HG03077	False	False	3	0	0	3.092	3.158	2	AFR
